component,shape_type,triangles,volume,center_x,center_y,center_z,min_x,min_y,min_z,size_x,size_y,size_z,source_faces,classification,motion
Component_001,Compound,1860,15134.231038158705,240.5,317.5,101.24999999999999,235.5,312.5007241090031,-5.684341886080802e-14,10.0,9.998551781993854,202.50000000000009,7,unclassified,unknown
Component_002,Compound,1860,15134.23103815872,240.5,252.5,101.24999999999999,235.5,247.50072410900307,-5.684341886080802e-14,10.0,9.998551781993882,202.50000000000009,7,unclassified,unknown
Component_003,Compound,1860,15134.231038158698,280.5,317.5,101.24999999999999,275.5,312.50072410900304,-5.684341886080802e-14,10.0,9.99855178199391,202.50000000000009,7,unclassified,unknown
Component_004,Compound,1860,15134.231038158712,280.5,252.5,101.24999999999999,275.5,247.50072410900307,-5.684341886080802e-14,10.0,9.998551781993882,202.50000000000009,7,unclassified,unknown
Component_005,Compound,1860,7168.237759463675,174.9,300.0,52.6,169.9,295.0007241090031,-2.842170943040401e-14,10.0,9.998551781993854,105.20000000000006,7,unclassified,unknown
Component_006,Compound,1860,7168.237759463675,174.9,270.0,52.6,169.9,265.0007241090031,-2.842170943040401e-14,10.0,9.998551781993854,105.20000000000006,7,unclassified,unknown
Component_007,Compound,1860,7168.237759463687,14.900000000000007,300.0,52.6,9.900003060669029,295.0000028529232,-2.842170943040401e-14,9.999993878661957,9.999994294153566,105.20000000000006,7,unclassified,unknown
Component_008,Compound,1860,7168.237759463687,14.900000000000007,270.0,52.6,9.900003060669029,265.0000028529232,-2.842170943040401e-14,9.999993878661957,9.999994294153566,105.20000000000006,7,unclassified,unknown
Component_009,Compound,8648,22712.454031482248,261.0,285.0,205.0,231.5,242.5,202.5,59.0,85.0,5.0,27,unclassified,unknown
Component_010,Compound,13024,74584.92976897958,127.06,285.0,107.7,-24.49000000000001,255.0,105.2,303.1,60.0,5.0,39,unclassified,unknown
Component_011,Compound,96970,62327.418735246596,247.185,284.98,85.51000000000002,218.495,271.38,63.82000000000001,57.379999999999995,27.200000000000045,43.380000000000024,45,unclassified,unknown
Component_012,Compound,5578,5430.13609673315,91.0,285.0,126.69995873245324,81.0,264.0,110.2,20.0,42.0,32.99991746490649,15,unclassified,unknown
Component_013,Compound,2712,8481.381542286348,-3.0,285.0,126.78219999999999,-13.0,264.0,110.2,20.0,42.0,33.164399999999986,15,unclassified,unknown
Component_014,Compound,7148,13655.387392712068,418.06000000000006,284.9973776952195,118.950001512585,370.5599999999999,263.4973776952194,116.450001512585,95.00000000000034,43.000000000000114,5.0,28,unclassified,unknown
Component_015,Compound,92043,2451.5597456871847,271.875,308.225,286.5,258.65000000000003,296.15,280.6,26.44999999999999,24.150000000000034,11.799999999999955,68,unclassified,unknown
Component_016,Compound,79333,3820.2278647197227,417.01999488998285,228.574994410619,21.274599192431122,411.11999488998276,216.49999441061902,8.049198384862203,11.800000000000125,24.150000000000006,26.45080161513784,68,unclassified,unknown
Component_017,Compound,79333,3820.2278647197477,266.6745991924312,308.225,213.5,253.44919838486229,296.15,207.59999999999997,26.45080161513775,24.150000000000034,11.800000000000068,68,unclassified,unknown
Component_018,Compound,79333,3820.22786471976,-3.0,293.7745991924311,147.925,-8.900000000000034,280.5491983848622,135.85,11.800000000000068,26.450801615137777,24.150000000000006,68,unclassified,unknown
